59,124410
80,169105
240,486342
246,493672
166,339042
88,194629
402,786994
228,514973
302,607842
141,327320
226,462334
535,992690
228,516178
150,273449
222,469771
338,712687
441,838495
352,732601
372,578431
105,237313
227,515428
125,300763
41,105594
199,374325
298,635652
383,710113
74,169355
204,511096
504,984538
462,812006
180,362091
210,478947
451,836276
228,500302
128,303074
218,481583
175,371212
309,611718
349,639645
377,747160
461,926413
213,456130
43,107355
432,760218
203,470957
187,442540
201,380762
136,324451
415,820973
357,772206
226,490375
254,522372
178,391316
346,674689
459,956508
183,397825
125,293884
130,268723
447,838334
60,141487
343,644998
460,922777
221,393748
164,342347
465,830530
351,619185
248,535953
418,744399
176,354651
278,560761
522,956233
55,139284
207,474486
346,609948
223,428847
80,173785
442,783102
418,748890
322,685448
331,646247
498,973502
212,493207
325,628186
416,878182
427,975015
491,963617
476,911299
241,574445
490,902361
45,107686
198,467006
369,675102
252,537613
464,780749
403,768604
184,366198
307,661562
491,917963
389,726244
487,916490
258,560268
87,187642
43,107821
330,623007
213,488011
440,819456
496,931803
188,411774
215,416732
68,157363
214,484307
205,476328
102,264286
350,758477
101,241375
207,477716
478,875392
72,162594
342,636141
145,330064
472,873898
232,451333
467,857165
203,420055
323,614672
291,622300
381,703465
514,863441
447,789487
493,829770
508,922215
316,618883
340,675144
432,806664
224,383834
126,259569
408,749430
419,726071
274,611369
471,908986
98,232454
481,950195
201,456880
464,868002
500,914437
240,547084
407,763817
243,530704
162,342062
392,826368
293,636986
426,947687
98,236926
191,385750
225,420202
226,511005
120,282271
499,873955
414,778063
103,255664
47,112979
463,859287
341,717829
55,112399
199,452622
123,290692
167,350593
442,852061
474,965280
485,952614
141,319849
280,567258
303,655386
150,344404
271,567105
433,985122
276,635624
176,380519
284,619218
340,633998
80,189354
391,795659
236,447939
411,839650
226,485436
182,408533
500,997678
444,872415
281,561787
96,190907
152,303783
489,931206
433,843559
170,389629
277,561740
82,184015
358,716656
376,799942
209,462447
223,442283
287,556063
213,478370
499,923392
468,904662
129,290479
177,380294
210,398442
195,440434
54,137470
213,504808
440,819490
459,921221
297,642172
432,962577
463,876941
230,535363
380,722424
143,335656
275,603593
457,829655
506,907027
360,687474
418,700723
326,649671
281,556294
85,190397
104,251971
59,145702
290,616504
271,562573
433,924332
184,364531
374,761655
73,169288
137,320745
444,795141
307,661688
240,572568
401,819939
386,737359
458,905860
184,401420
335,656781
491,996793
453,901585
68,160027
134,304087
467,903266
131,308999
446,834547
198,438904
460,858242
301,603016
187,337192
262,533390
514,987134
338,670421
197,460662
71,163566
188,415415
423,954572
141,317936
173,383678
125,267658
218,462982
380,777559
237,486530
312,656299
450,811384
230,517123
200,381675
478,979090
355,678883
212,378626
379,767048
522,993036
171,348141
389,800239
138,319168
212,455201
383,706988
151,339327
247,560431
534,978127
422,768839
605,862772
521,814376
304,605335
355,631120
199,412861
610,962310
72,171739
45,109237
460,719684
518,945326
346,586815
108,245353
339,552058
566,996584
495,650844
531,879840
361,681690
398,750131
222,484385
456,850777
368,692556
182,374372
91,228155
263,609652
162,365855
292,617148
419,965829
107,233890
91,223908
230,542192
215,525482
48,120920
438,776998
468,870111
252,537814
388,868351
439,904334
138,210548
596,996809
657,905540
527,904470
383,691863
433,773706
133,289910
501,822473
343,691266
433,892114
347,716449
161,301984
452,896579
495,857050
108,195283
463,794443
242,540596
435,770042
361,710395
432,798036
100,222188
328,606834
116,254330
57,142925
349,649869
176,340602
322,573120
141,313245
273,559352
506,885655
135,279253
394,682607
69,150326
268,556172
445,718936
91,205704
110,252904
445,731596
251,497972
377,680318
140,328747
591,984495
38,100184
146,305375
502,947978
463,899515
391,734420
118,296239
215,533903
403,734868
184,410998
451,902394
290,629222
316,638536
163,366341
174,393281
436,978167
295,639333
70,150175
211,489487
70,168276
140,327148
234,550429
296,601500
428,868752
75,177510
422,957869
271,612858
408,870662
48,127260
431,834951
101,253394
86,201917
249,531088
427,977625
170,336397
109,257479
195,459432
62,154921
411,779703
169,378908
418,801349
198,443037
357,697076
503,961335
424,791575
212,495126
146,338011
414,945317
481,975065
53,137930
63,158022
205,471705
208,411491
215,493167
369,740328
359,774536
460,889790
205,447934
458,853443
146,313621
432,794112
217,519709
231,464748
232,468068
500,942613
265,595693
339,739537
268,596969
245,519407
198,452387
207,480309
318,624740
98,241974
258,584394
185,358391
51,133929
52,140506
497,927814
240,515108
105,270353
478,915129
414,768178
302,671522
429,938367
448,884216
307,646866
426,874371
421,788786
283,615646
441,975691
278,635448
401,880230
482,970372
236,547337
315,681680
408,786438
207,413090
375,788192
443,958769
113,275992
449,864940
241,560368
